entity_id,state,last_changed
sensor.kostal_kwh,3.259,2026-07-10T11:30:11.003Z
sensor.kostal_kwh,3.254,2026-07-10T11:31:11.308Z
sensor.kostal_kwh,3.257,2026-07-10T11:32:11.689Z
sensor.kostal_kwh,3.253,2026-07-10T11:33:12.004Z
sensor.kostal_kwh,3.245,2026-07-10T11:34:12.316Z
sensor.kostal_kwh,3.2520000000000002,2026-07-10T11:35:12.687Z
sensor.kostal_kwh,3.245,2026-07-10T11:36:13.001Z
sensor.kostal_kwh,3.23,2026-07-10T11:37:13.403Z
sensor.kostal_kwh,3.227,2026-07-10T11:38:18.724Z
sensor.kostal_kwh,3.214,2026-07-10T11:39:19.038Z
sensor.kostal_kwh,3.215,2026-07-10T11:40:19.447Z
sensor.kostal_kwh,3.205,2026-07-10T11:41:19.760Z
sensor.kostal_kwh,3.203,2026-07-10T11:42:20.113Z
sensor.kostal_kwh,3.1950000000000003,2026-07-10T11:43:20.435Z
sensor.kostal_kwh,3.202,2026-07-10T11:44:20.747Z
sensor.kostal_kwh,3.201,2026-07-10T11:45:21.121Z
sensor.kostal_kwh,3.186,2026-07-10T11:46:21.437Z
sensor.kostal_kwh,3.1790000000000003,2026-07-10T11:47:21.753Z
sensor.kostal_kwh,3.174,2026-07-10T11:48:27.145Z
sensor.kostal_kwh,3.173,2026-07-10T11:49:32.478Z
sensor.kostal_kwh,3.166,2026-07-10T11:50:32.845Z
sensor.kostal_kwh,3.1470000000000002,2026-07-10T11:51:33.521Z
sensor.kostal_kwh,3.148,2026-07-10T11:52:33.449Z
sensor.kostal_kwh,3.136,2026-07-10T11:54:34.155Z
sensor.kostal_kwh,3.13,2026-07-10T11:55:34.472Z
sensor.kostal_kwh,3.121,2026-07-10T11:56:39.865Z
sensor.kostal_kwh,3.114,2026-07-10T11:57:40.179Z
sensor.kostal_kwh,3.1,2026-07-10T11:59:40.876Z
sensor.kostal_kwh,3.107,2026-07-10T12:00:41.195Z
sensor.kostal_kwh,3.099,2026-07-10T12:02:41.894Z
sensor.kostal_kwh,3.096,2026-07-10T12:03:42.211Z
sensor.kostal_kwh,3.082,2026-07-10T12:04:42.617Z
sensor.kostal_kwh,3.079,2026-07-10T12:05:42.939Z
sensor.kostal_kwh,3.069,2026-07-10T12:06:43.312Z
sensor.kostal_kwh,3.059,2026-07-10T12:07:48.627Z
sensor.kostal_kwh,3.0500000000000003,2026-07-10T12:09:49.321Z
sensor.kostal_kwh,3.049,2026-07-10T12:10:49.637Z
sensor.kostal_kwh,3.0460000000000003,2026-07-10T12:11:49.951Z
sensor.kostal_kwh,3.04,2026-07-10T12:12:50.327Z
sensor.kostal_kwh,3.029,2026-07-10T12:13:50.634Z
sensor.kostal_kwh,3.015,2026-07-10T12:14:51.043Z
sensor.kostal_kwh,3.0100000000000002,2026-07-10T12:15:51.355Z
sensor.kostal_kwh,2.997,2026-07-10T12:16:51.660Z
sensor.kostal_kwh,2.981,2026-07-10T12:17:52.045Z
sensor.kostal_kwh,2.98,2026-07-10T12:18:52.360Z
sensor.kostal_kwh,2.967,2026-07-10T12:19:52.669Z
sensor.kostal_kwh,2.97,2026-07-10T12:20:53.050Z
sensor.kostal_kwh,2.967,2026-07-10T12:21:53.361Z
sensor.kostal_kwh,2.962,2026-07-10T12:22:53.760Z
sensor.kostal_kwh,2.953,2026-07-10T12:23:54.071Z
sensor.kostal_kwh,2.944,2026-07-10T12:24:54.380Z
sensor.kostal_kwh,2.9370000000000003,2026-07-10T12:25:54.750Z
sensor.kostal_kwh,2.9330000000000003,2026-07-10T12:27:00.280Z
sensor.kostal_kwh,2.919,2026-07-10T12:28:00.748Z
sensor.kostal_kwh,2.9130000000000003,2026-07-10T12:29:00.958Z
sensor.kostal_kwh,2.912,2026-07-10T12:30:01.254Z
sensor.kostal_kwh,2.904,2026-07-10T12:31:01.632Z
sensor.kostal_kwh,2.89,2026-07-10T12:32:01.933Z
sensor.kostal_kwh,2.891,2026-07-10T12:33:02.249Z
sensor.kostal_kwh,2.8810000000000002,2026-07-10T12:34:02.632Z
sensor.kostal_kwh,2.848,2026-07-10T12:35:02.984Z
sensor.kostal_kwh,2.858,2026-07-10T12:36:03.336Z
sensor.kostal_kwh,2.852,2026-07-10T12:37:03.648Z
sensor.kostal_kwh,2.846,2026-07-10T12:38:03.950Z
sensor.kostal_kwh,2.84,2026-07-10T12:39:04.326Z
sensor.kostal_kwh,2.83,2026-07-10T12:40:04.630Z
sensor.kostal_kwh,2.823,2026-07-10T12:41:11.254Z
sensor.kostal_kwh,2.818,2026-07-10T12:42:10.311Z
sensor.kostal_kwh,2.8040000000000003,2026-07-10T12:43:10.625Z
sensor.kostal_kwh,2.793,2026-07-10T12:44:11.033Z
sensor.kostal_kwh,2.775,2026-07-10T12:45:11.349Z
sensor.kostal_kwh,2.7760000000000002,2026-07-10T12:46:11.668Z
sensor.kostal_kwh,2.7600000000000002,2026-07-10T12:47:17.057Z
sensor.kostal_kwh,2.7520000000000002,2026-07-10T12:48:17.371Z
sensor.kostal_kwh,2.737,2026-07-10T12:49:17.681Z
sensor.kostal_kwh,2.746,2026-07-10T12:50:18.028Z
sensor.kostal_kwh,2.733,2026-07-10T12:51:18.343Z
sensor.kostal_kwh,2.71,2026-07-10T12:52:18.717Z
sensor.kostal_kwh,2.711,2026-07-10T12:53:19.027Z
sensor.kostal_kwh,2.703,2026-07-10T12:54:19.341Z
sensor.kostal_kwh,2.69,2026-07-10T12:55:19.768Z
sensor.kostal_kwh,2.685,2026-07-10T12:56:25.090Z
sensor.kostal_kwh,2.677,2026-07-10T12:57:25.404Z
sensor.kostal_kwh,2.672,2026-07-10T12:58:25.764Z
sensor.kostal_kwh,2.648,2026-07-10T12:59:26.083Z
sensor.kostal_kwh,2.646,2026-07-10T13:00:26.463Z
sensor.kostal_kwh,2.634,2026-07-10T13:01:26.780Z
sensor.kostal_kwh,2.624,2026-07-10T13:02:27.099Z
sensor.kostal_kwh,2.618,2026-07-10T13:03:32.488Z
sensor.kostal_kwh,2.601,2026-07-10T13:04:32.800Z
sensor.kostal_kwh,2.599,2026-07-10T13:05:33.115Z
sensor.kostal_kwh,2.588,2026-07-10T13:06:33.435Z
sensor.kostal_kwh,2.575,2026-07-10T13:07:33.745Z
sensor.kostal_kwh,2.559,2026-07-10T13:08:34.157Z
sensor.kostal_kwh,2.548,2026-07-10T13:09:39.494Z
sensor.kostal_kwh,2.532,2026-07-10T13:10:39.799Z
sensor.kostal_kwh,2.5220000000000002,2026-07-10T13:11:41.237Z
sensor.kostal_kwh,2.511,2026-07-10T13:12:41.546Z
sensor.kostal_kwh,2.509,2026-07-10T13:13:41.935Z
sensor.kostal_kwh,2.505,2026-07-10T13:14:47.251Z
sensor.kostal_kwh,2.498,2026-07-10T13:15:47.565Z
sensor.kostal_kwh,2.481,2026-07-10T13:16:47.946Z
sensor.kostal_kwh,2.48,2026-07-10T13:17:48.314Z
sensor.kostal_kwh,2.467,2026-07-10T13:18:48.576Z
sensor.kostal_kwh,2.445,2026-07-10T13:19:48.979Z
sensor.kostal_kwh,2.442,2026-07-10T13:20:49.290Z
sensor.kostal_kwh,2.4290000000000003,2026-07-10T13:21:49.671Z
sensor.kostal_kwh,2.416,2026-07-10T13:22:49.994Z
sensor.kostal_kwh,2.404,2026-07-10T13:23:50.305Z
sensor.kostal_kwh,2.392,2026-07-10T13:24:50.690Z
sensor.kostal_kwh,2.38,2026-07-10T13:25:51.009Z
sensor.kostal_kwh,2.371,2026-07-10T13:26:52.553Z
sensor.kostal_kwh,2.362,2026-07-10T13:27:51.718Z
sensor.kostal_kwh,2.354,2026-07-10T13:28:52.043Z
sensor.kostal_kwh,2.34,2026-07-10T13:29:52.425Z
sensor.kostal_kwh,2.333,2026-07-10T13:30:52.731Z
sensor.kostal_kwh,2.322,2026-07-10T13:31:53.491Z
sensor.kostal_kwh,2.309,2026-07-10T13:32:53.398Z
sensor.kostal_kwh,2.301,2026-07-10T13:33:53.755Z
sensor.kostal_kwh,2.283,2026-07-10T13:34:59.040Z
sensor.kostal_kwh,2.275,2026-07-10T13:35:59.402Z
sensor.kostal_kwh,2.261,2026-07-10T13:36:59.718Z
sensor.kostal_kwh,2.25,2026-07-10T13:38:00.136Z
sensor.kostal_kwh,2.24,2026-07-10T13:39:00.440Z
sensor.kostal_kwh,2.226,2026-07-10T13:40:00.738Z
sensor.kostal_kwh,2.202,2026-07-10T13:41:01.116Z
sensor.kostal_kwh,2.198,2026-07-10T13:42:01.416Z
sensor.kostal_kwh,2.19,2026-07-10T13:43:01.727Z
sensor.kostal_kwh,2.1710000000000003,2026-07-10T13:44:02.104Z
sensor.kostal_kwh,2.1670000000000003,2026-07-10T13:45:02.419Z
sensor.kostal_kwh,2.1550000000000002,2026-07-10T13:46:02.823Z
sensor.kostal_kwh,2.1390000000000002,2026-07-10T13:47:03.141Z
sensor.kostal_kwh,2.122,2026-07-10T13:48:03.444Z
sensor.kostal_kwh,2.115,2026-07-10T13:49:03.824Z
